model,hier,variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,2.5%,97.5%,term,lvl,variable_orig,lvl_c,term_c,trials
asce,cond,sd,0.0791451665054,0.06354265,0.06601347067590477,0.05565354227999999,0.005350496000000001,0.20338315,1.002373094429682,1706.1264383252592,2046.0972032796242,0.0026875332500000005,0.24358770000000007,8,1,sd_1[8],cond,other,27
asce,cond,sd,0.2838002685,0.279888,0.04451841666692045,0.04319110319999998,0.21701684999999998,0.36260729999999997,1.0005257451756584,1099.8890304820327,2015.1299266915041,0.207111575,0.38070912500000004,1,2,sd_2[1],nct_id,Intercept,27
asce,cond,sd,0.0336351435,0.0333402,0.0053785554161906715,0.005287396379999999,0.025495695,0.04293033,1.0003123909739566,1404.9164229110856,2615.4685749612695,0.024290582499999998,0.0450071625,2,2,sd_2[2],nct_id,age10,27
asce,cond,sd,0.067974963775,0.06523145,0.018065814824111726,0.01583520582,0.04453563,0.10187389999999999,1.0006323506293706,1933.6651860387044,2259.9521308363196,0.041096477500000006,0.11091710000000002,3,2,sd_2[3],nct_id,asian,27
asce,cond,sd,0.079137228725,0.07723005,0.02256730294667939,0.022032103169999994,0.04637228,0.11857154999999998,1.0015008773365233,1990.5068138702063,2290.7994841490513,0.04091954,0.12747392500000002,4,2,sd_2[4],nct_id,black,27
asce,cond,sd,0.065362142975,0.06435455,0.009999631621324168,0.009820075229999998,0.051004524999999995,0.08297053999999993,1.003711687178283,1365.3053641092147,1587.3728691894037,0.048716430000000005,0.087885455,5,2,sd_2[5],nct_id,como_ct,27
asce,cond,sd,0.05973509875,0.0582636,0.012871623337428485,0.01212929886,0.041473815,0.08308536999999999,1.0003704100256468,2224.968699162622,2754.9969793697633,0.038089512500000006,0.08863937500000003,6,2,sd_2[6],nct_id,male,27
asce,cond,sd,0.113925923025,0.105244,0.04861338419603736,0.04215669317999999,0.052675115,0.20618164999999997,0.9999311862481607,2363.262534018586,2749.505156285518,0.04654409500000001,0.23323585000000005,7,2,sd_2[7],nct_id,nativ,27
asce,cond,sd,0.14428823885,0.1409365,0.03978136391226513,0.0373570722,0.085322125,0.21581489999999992,1.000685306386892,2343.8760822245767,2717.435636411606,0.07660562,0.23203269999999998,8,2,sd_2[8],nct_id,other,27
asce,cmpr_cond,b,0.201912550210025,0.20171850000000002,0.08437989153379596,0.08116567830000002,0.06341313500000001,0.3358084499999999,1.0003784733942291,2561.7987650488944,2710.0992010735195,0.0381446925,0.37098135000000004,1,0,b[1],pop,Intercept,27
asce,cmpr_cond,b,0.0184548899414975,0.0181848,0.010891033887397171,0.010241059499999998,0.0010764285000000005,0.036248425,1.0009566862957224,2267.792948317031,2761.914497303734,-0.0027016514999999995,0.04066573750000001,2,0,b[2],pop,age10,27
asce,cmpr_cond,b,-0.0233496203429975,-0.0229467,0.0331945617064354,0.030256737714,-0.07866580499999999,0.030065499999999967,1.000935256297527,3143.9751102928685,2971.4431714493217,-0.0899536775,0.04417653250000002,3,0,b[3],pop,asian,27
asce,cmpr_cond,b,0.0456207258114,0.04596345,0.03444357244069126,0.03114408863999999,-0.01158947,0.10146929999999997,1.0003122443868901,2989.1534901287414,2911.5448994605695,-0.026700605,0.11286260000000002,4,0,b[4],pop,black,27
asce,cmpr_cond,b,-0.0252477327894,-0.02646045,0.020987850806063253,0.019194184379999996,-0.056363075,0.010993494999999994,1.0017077891509383,2419.6981464228074,1998.5099838716803,-0.0622057075,0.01938953,5,0,b[5],pop,como_ct,27
asce,cmpr_cond,b,-0.0417504081745525,-0.042020600000000005,0.02958123120919669,0.02409358433999999,-0.087340135,0.004935998999999992,1.0006861996765952,2530.552615664408,2307.0322160318096,-0.098625035,0.018221295000000016,6,0,b[6],pop,male,27
asce,cmpr_cond,b,-0.0190039797486125,-0.0170564,0.08149526318627337,0.06618541376999999,-0.15341095,0.10822954999999995,1.0017251403909226,2974.144478926897,2497.537297126395,-0.19584027499999995,0.147696375,7,0,b[7],pop,nativ,27
asce,cmpr_cond,b,0.0179589335803825,0.018238249999999998,0.06335474367019613,0.05682857691,-0.08406528,0.12052609999999998,1.0009682311761152,3142.459326248072,2957.371499670632,-0.10564075,0.14613515000000002,8,0,b[8],pop,other,27
asce,cmpr_cond,sd,0.21727081831275,0.220926,0.08954272665441208,0.08164752329999997,0.051639435000000004,0.3587445,1.0091959738314331,484.3295784168294,978.041659810539,0.030233187500000005,0.3885761750000001,1,1,sd_1[1],cmpr,Intercept,27
