model,nct_id,term,estimate,std.error,statistic,p.value
asc_int,NCT00384930,como_ct,-1.34E-02,2.32E-02,-0.576133902,0.564927141
asc_int,NCT00384930,age10:male,  NA,  NA,NA,NA
asc_int,NCT00384930,age10:como_ct,1.67E-03,3.64E-03,0.457942079,0.647302925
asc_int,NCT00384930,male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00384930,age10:male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00827242,(Intercept),-7.66E-03,1.92E-01,-0.039923885,0.968245285
asc_int,NCT00827242,age10,4.96E-03,3.08E-02,0.160814577,0.872612277
asc_int,NCT00827242,male,  NA,  NA,NA,NA
asc_int,NCT00827242,como_ct,9.25E-03,1.26E-01,0.073458682,0.941609752
asc_int,NCT00827242,age10:male,  NA,  NA,NA,NA
asc_int,NCT00827242,age10:como_ct,-3.14E-03,2.10E-02,-0.14978778,0.881278754
asc_int,NCT00827242,male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00827242,age10:male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00855582,(Intercept),3.53E-01,2.75E-01,1.285942983,0.199125723
asc_int,NCT00855582,age10,-3.20E-02,4.30E-02,-0.744436766,0.457001716
asc_int,NCT00855582,male,  NA,  NA,NA,NA
asc_int,NCT00855582,como_ct,-1.73E-02,1.36E-01,-0.127154139,0.898875327
asc_int,NCT00855582,age10:male,  NA,  NA,NA,NA
asc_int,NCT00855582,age10:como_ct,5.52E-03,2.13E-02,0.259604992,0.795287475
asc_int,NCT00855582,male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00855582,age10:male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00848081,(Intercept),4.66E-01,2.58E-01,1.808436014,0.071480203
asc_int,NCT00848081,age10,-5.88E-02,3.84E-02,-1.531369267,0.126669215
asc_int,NCT00848081,male,  NA,  NA,NA,NA
asc_int,NCT00848081,como_ct,-1.16E-01,9.33E-02,-1.244024472,0.214403886
asc_int,NCT00848081,age10:male,  NA,  NA,NA,NA
asc_int,NCT00848081,age10:como_ct,1.73E-02,1.37E-02,1.263089617,0.207479394
asc_int,NCT00848081,male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00848081,age10:male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00970632,(Intercept),3.04E-01,2.44E-01,1.247663862,0.213057962
asc_int,NCT00970632,age10,-4.00E-02,3.74E-02,-1.070307166,0.285280207
asc_int,NCT00970632,male,  NA,  NA,NA,NA
asc_int,NCT00970632,como_ct,-1.69E-01,1.31E-01,-1.290133493,0.197927169
asc_int,NCT00970632,age10:male,  NA,  NA,NA,NA
asc_int,NCT00970632,age10:como_ct,2.68E-02,1.99E-02,1.345818149,0.179305045
asc_int,NCT00970632,male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00970632,age10:male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00734474,(Intercept),8.18E-02,8.98E-02,0.911002427,0.362526903
asc_int,NCT00734474,age10,-9.96E-03,1.62E-02,-0.61652218,0.53769874
asc_int,NCT00734474,male,-3.41E-02,1.42E-01,-0.240527185,0.809973871
asc_int,NCT00734474,como_ct,-1.04E-02,4.35E-02,-0.239191876,0.811008777
asc_int,NCT00734474,age10:male,9.86E-03,2.52E-02,0.391666761,0.695392942
asc_int,NCT00734474,age10:como_ct,2.40E-03,7.77E-03,0.308062614,0.75810272
asc_int,NCT00734474,male:como_ct,-4.82E-02,7.34E-02,-0.656474495,0.51167903
asc_int,NCT00734474,age10:male:como_ct,6.40E-03,1.28E-02,0.499787092,0.617341595
asc_int,NCT01064687,(Intercept),5.62E-01,1.75E-01,3.206438744,0.001389703
asc_int,NCT01064687,age10,-7.15E-02,3.15E-02,-2.272710779,0.023270827
asc_int,NCT01064687,male,-5.38E-01,2.38E-01,-2.260250311,0.024036018
asc_int,NCT01064687,como_ct,-1.22E-01,7.42E-02,-1.648811551,0.099523616
asc_int,NCT01064687,age10:male,8.51E-02,4.26E-02,1.995851368,0.04624105
asc_int,NCT01064687,age10:como_ct,1.84E-02,1.32E-02,1.389458388,0.165025602
asc_int,NCT01064687,male:como_ct,1.34E-01,1.00E-01,1.333693175,0.182630619
asc_int,NCT01064687,age10:male:como_ct,-2.29E-02,1.77E-02,-1.293890868,0.196024007
asc_int,NCT01075282,(Intercept),-8.02E-02,1.41E-01,-0.569465595,0.569231651
asc_int,NCT01075282,age10,1.74E-02,2.43E-02,0.71545575,0.474577466
asc_int,NCT01075282,male,2.43E-01,2.09E-01,1.162311724,0.245523954
asc_int,NCT01075282,como_ct,5.78E-02,7.14E-02,0.809350304,0.418601863
asc_int,NCT01075282,age10:male,-4.17E-02,3.58E-02,-1.167222961,0.243536821
asc_int,NCT01075282,age10:como_ct,-9.80E-03,1.20E-02,-0.815423321,0.41512068
asc_int,NCT01075282,male:como_ct,-6.29E-02,1.14E-01,-0.54998663,0.582512383
asc_int,NCT01075282,age10:male:como_ct,1.43E-02,1.90E-02,0.748600147,0.454361738
asc_int,NCT01126580,(Intercept),-1.06E-01,1.12E-01,-0.944406053,0.34532423
asc_int,NCT01126580,age10,2.72E-02,1.99E-02,1.370335625,0.171070241
asc_int,NCT01126580,male,3.69E-01,1.93E-01,1.91533065,0.055902784
asc_int,NCT01126580,como_ct,4.94E-02,5.25E-02,0.940773957,0.347181285
asc_int,NCT01126580,age10:male,-7.09E-02,3.38E-02,-2.098776937,0.036234027
asc_int,NCT01126580,age10:como_ct,-9.36E-03,9.08E-03,-1.030355438,0.303238579
asc_int,NCT01126580,male:como_ct,-2.03E-01,9.86E-02,-2.057480493,0.040051025
asc_int,NCT01126580,age10:male:como_ct,3.76E-02,1.69E-02,2.219264543,0.026824154
asc_int,NCT01769378,(Intercept),2.28E-01,1.67E-01,1.361595845,0.174770718
asc_int,NCT01769378,age10,-3.28E-02,2.74E-02,-1.195802464,0.233109449
asc_int,NCT01769378,male,-3.39E-01,2.69E-01,-1.262101667,0.208298908
asc_int,NCT01769378,como_ct,-8.24E-02,9.17E-02,-0.898556693,0.369908237
asc_int,NCT01769378,age10:male,6.10E-02,4.39E-02,1.388049549,0.166578924
asc_int,NCT01769378,age10:como_ct,1.18E-02,1.46E-02,0.810089443,0.418797143
asc_int,NCT01769378,male:como_ct,1.10E-01,1.48E-01,0.747392422,0.455654888
asc_int,NCT01769378,age10:male:como_ct,-2.01E-02,2.32E-02,-0.866535534,0.387176208
asce_int,NCT01164501,(Intercept),8.73E-01,1.75E-01,4.993408373,8.72E-07
asce_int,NCT01164501,age10,-5.71E-02,2.59E-02,-2.204201407,0.028053185
asce_int,NCT01164501,como_ct,1.21E-01,2.33E-02,5.196784755,3.17E-07
asce_int,NCT01164501,male,-1.99E-02,5.47E-02,-0.363389486,0.716497223
asce_int,NCT01164501,asian,-1.36E-01,7.35E-02,-1.84474229,0.065780631
asce_int,NCT01164501,black,4.76E-03,1.15E-01,0.04139343,0.967001967
asce_int,NCT01164501,nativ,  NA,  NA,NA,NA
asce_int,NCT01164501,other,-7.84E-01,3.23E-01,-2.430043107,0.0155161
asce_int,NCT01164501,male:asian,-1.09E-01,9.76E-02,-1.114866874,0.265546518
asce_int,NCT01164501,male:black,2.14E-01,2.09E-01,1.023798774,0.306521042
asce_int,NCT01164501,male:nativ,  NA,  NA,NA,NA
asce_int,NCT01164501,male:other,9.05E-01,5.57E-01,1.624782343,0.104960887
asce_int,NCT00479401,(Intercept),-4.88E-01,1.15E-01,-4.251978336,2.67E-05
asce_int,NCT00479401,age10,8.75E-02,1.67E-02,5.247040028,2.57E-07
asce_int,NCT00479401,como_ct,-4.99E-03,1.41E-02,-0.354209502,0.723377833
asce_int,NCT00479401,male,-3.85E-03,3.81E-02,-0.101041272,0.919570848
asce_int,NCT00479401,asian,8.21E-02,4.52E-02,1.817825843,0.069875993
asce_int,NCT00479401,black,  NA,  NA,NA,NA
asce_int,NCT00479401,nativ,  NA,  NA,NA,NA
asce_int,NCT00479401,other,  NA,  NA,NA,NA
asce_int,NCT00479401,male:asian,4.92E-02,6.12E-02,0.803613165,0.422121494
asce_int,NCT00479401,male:black,  NA,  NA,NA,NA
asce_int,NCT00479401,male:nativ,  NA,  NA,NA,NA
asce_int,NCT00479401,male:other,  NA,  NA,NA,NA
asce_int,NCT00466167,(Intercept),-7.16E-01,1.50E-01,-4.787394294,2.53E-06
asce_int,NCT00466167,age10,1.34E-01,2.14E-02,6.237400862,1.33E-09
asce_int,NCT00466167,como_ct,1.62E-03,2.24E-02,0.072406059,0.942321716
asce_int,NCT00466167,male,-8.15E-02,5.61E-02,-1.451208107,0.147652132
asce_int,NCT00466167,asian,1.15E-01,5.52E-02,2.087508328,0.037592956
asce_int,NCT00466167,black,  NA,  NA,NA,NA
asce_int,NCT00466167,nativ,  NA,  NA,NA,NA
asce_int,NCT00466167,other,  NA,  NA,NA,NA
asce_int,NCT00466167,male:asian,2.19E-02,7.91E-02,0.276748527,0.782142868
asce_int,NCT00466167,male:black,  NA,  NA,NA,NA
