model,nct_id,term,estimate,std.error,statistic,p.value
asc_int,NCT00125918,como_ct,-2.74E-01,1.58E-02,-17.31439017,4.42E-52
asc_int,NCT00125918,age10:male,1.14E-02,8.88E-03,1.278781393,0.201618808
asc_int,NCT00125918,age10:como_ct,4.92E-02,2.84E-03,17.29785948,5.26E-52
asc_int,NCT00125918,male:como_ct,2.77E-02,3.56E-02,0.778358533,0.436757855
asc_int,NCT00125918,age10:male:como_ct,-7.86E-03,5.95E-03,-1.321863748,0.186870498
asc_int,NCT00861757,(Intercept),-1.42E-01,6.73E-02,-2.106240354,0.035571044
asc_int,NCT00861757,age10,2.77E-02,1.07E-02,2.579823578,0.010106215
asc_int,NCT00861757,male,  NA,  NA,NA,NA
asc_int,NCT00861757,como_ct,3.87E-02,4.79E-02,0.808592627,0.41904904
asc_int,NCT00861757,age10:male,  NA,  NA,NA,NA
asc_int,NCT00861757,age10:como_ct,-7.03E-03,7.30E-03,-0.962900386,0.33596005
asc_int,NCT00861757,male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00861757,age10:male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00384930,(Intercept),1.16E-02,2.91E-02,0.397545879,0.691165022
asc_int,NCT00384930,age10,-1.30E-03,4.70E-03,-0.276597199,0.782224197
asc_int,NCT00384930,male,  NA,  NA,NA,NA
asc_int,NCT00384930,como_ct,-1.58E-03,1.45E-02,-0.109327316,0.912994604
asc_int,NCT00384930,age10:male,  NA,  NA,NA,NA
asc_int,NCT00384930,age10:como_ct,1.39E-04,2.29E-03,0.060743266,0.951592295
asc_int,NCT00384930,male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00384930,age10:male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00827242,(Intercept),1.48E-01,9.27E-02,1.597326536,0.111130142
asc_int,NCT00827242,age10,-1.39E-02,1.42E-02,-0.97884147,0.328360467
asc_int,NCT00827242,male,  NA,  NA,NA,NA
asc_int,NCT00827242,como_ct,-6.75E-02,1.14E-01,-0.59121348,0.554773724
asc_int,NCT00827242,age10:male,  NA,  NA,NA,NA
asc_int,NCT00827242,age10:como_ct,5.19E-03,1.81E-02,0.287254935,0.774093673
asc_int,NCT00827242,male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00827242,age10:male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00855582,(Intercept),4.22E-03,1.47E-01,0.028759377,0.977064318
asc_int,NCT00855582,age10,2.69E-02,2.37E-02,1.131654212,0.25814942
asc_int,NCT00855582,male,  NA,  NA,NA,NA
asc_int,NCT00855582,como_ct,1.31E-01,9.32E-02,1.405778246,0.160213134
asc_int,NCT00855582,age10:male,  NA,  NA,NA,NA
asc_int,NCT00855582,age10:como_ct,-1.95E-02,1.47E-02,-1.327997755,0.184591653
asc_int,NCT00855582,male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00855582,age10:male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00848081,(Intercept),7.09E-01,2.19E-01,3.238328152,0.00132014
asc_int,NCT00848081,age10,-9.26E-02,3.31E-02,-2.797280702,0.00544515
asc_int,NCT00848081,male,  NA,  NA,NA,NA
asc_int,NCT00848081,como_ct,-1.97E-01,8.25E-02,-2.384963013,0.017625085
asc_int,NCT00848081,age10:male,  NA,  NA,NA,NA
asc_int,NCT00848081,age10:como_ct,2.85E-02,1.23E-02,2.327142556,0.020540993
asc_int,NCT00848081,male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00848081,age10:male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00970632,(Intercept),-1.43E-01,1.20E-01,-1.188300745,0.235231554
asc_int,NCT00970632,age10,3.61E-02,1.90E-02,1.894746835,0.058654009
asc_int,NCT00970632,male,  NA,  NA,NA,NA
asc_int,NCT00970632,como_ct,4.55E-02,8.44E-02,0.539007889,0.590101113
asc_int,NCT00970632,age10:male,  NA,  NA,NA,NA
asc_int,NCT00970632,age10:como_ct,-9.39E-03,1.30E-02,-0.71975841,0.47198173
asc_int,NCT00970632,male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00970632,age10:male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00734474,(Intercept),-2.60E-02,6.32E-02,-0.411893683,0.680488425
asc_int,NCT00734474,age10,1.29E-02,1.17E-02,1.105085829,0.269336428
asc_int,NCT00734474,male,1.66E-02,8.99E-02,0.185102344,0.853178985
asc_int,NCT00734474,como_ct,3.43E-02,3.55E-02,0.968234661,0.333115691
asc_int,NCT00734474,age10:male,-2.40E-04,1.67E-02,-0.014363551,0.988542245
asc_int,NCT00734474,age10:como_ct,-7.05E-03,6.43E-03,-1.096302221,0.273159061
asc_int,NCT00734474,male:como_ct,-6.90E-02,5.52E-02,-1.250370306,0.211399828
asc_int,NCT00734474,age10:male:como_ct,1.06E-02,9.87E-03,1.070608285,0.284553602
