NCT ID,Randomised,N,Age,Male,Comorbidity count,Comorbidity count total,Comorbidity count 0,Comorbidity count 1,Comorbidity count >= 2,White,Asian,Black,Native,Other
NCT00670501,No,1557,70 (7),0 (0%),2.25 (1.36),3510,42,478,1037,1482 (95.2%),0 (0%),0 (0%),0 (0%),75 (4.8%)
NCT00734474,Yes,1202,54 (10),559 (46.5%),1.41 (1.2),1698,281,439,482,613 (51%),285 (23.7%),50 (4.2%),1 (0.1%),251 (20.9%)
NCT00734474,No,48,56 (10),23 (47.9%),1.12 (1.28),54,18,18,12,22 (45.8%),9 (18.8%),6 (12.5%),0 (0%),11 (22.9%)
NCT00827242,Yes,325,65 (9),325 (100%),NA (NA),,,,,296 (91.1%),2 (0.6%),8 (2.5%),17 (5.2%),2 (0.6%)
NCT00827242,No,16,63 (7),16 (100%),NA (NA),,,,,15 (93.8%),0 (0%),0 (0%),1 (6.2%),0 (0%)
NCT00848081,Yes,318,67 (9),318 (100%),2.4 (1.33),763,19,61,238,281 (88.4%),2 (0.6%),31 (9.7%),1 (0.3%),3 (0.9%)
NCT00848081,No,28,64 (9),28 (100%),2.18 (1.47),61,4,5,19,23 (82.1%),1 (3.6%),4 (14.3%),0 (0%),0 (0%)
NCT00855582,Yes,606,63 (8),606 (100%),1.09 (1.14),658,235,174,197,565 (93.2%),14 (2.3%),23 (3.8%),1 (0.2%),3 (0.5%)
NCT00855582,No,132,63 (9),132 (100%),1.17 (1.21),154,50,36,46,125 (94.7%),2 (1.5%),5 (3.8%),0 (0%),0 (0%)
NCT00856284,Yes,2639,55 (10),1312 (49.7%),NA (NA),,,,,,,,,
NCT00856284,No,3150,55 (11),1536 (48.8%),NA (NA),,,,,,,,,
NCT00861757,Yes,629,63 (8),629 (100%),0.97 (1.05),612,254,217,158,,,,,
NCT00861757,No,17,68 (7),17 (100%),0.82 (0.88),14,7,7,3,,,,,
NCT00926289,Yes,892,57 (11),479 (53.7%),0.41 (0.8),369,645,165,82,608 (68.2%),190 (21.3%),93 (10.4%),0 (0%),1 (0.1%)
NCT00926289,No,136,55 (11),71 (52.2%),0.44 (0.66),60,88,37,11,77 (56.6%),27 (19.9%),31 (22.8%),0 (0%),0 (0%)
NCT00968708,Yes,5410,61 (10),3674 (67.9%),NA (NA),,,,,,,,,
NCT00968708,No,2627,61 (10),1676 (63.8%),NA (NA),,,,,,,,,
NCT00970632,Yes,511,64 (8),511 (100%),1.05 (1.09),537,202,150,159,392 (76.7%),0 (0%),1 (0.2%),118 (23.1%),0 (0%)
NCT00970632,No,39,66 (9),39 (100%),0.85 (1.09),33,21,8,10,33 (84.6%),0 (0%),1 (2.6%),5 (12.8%),0 (0%)
NCT01064687,Yes,978,56 (10),571 (58.4%),1.9 (1.29),1860,125,289,564,728 (74.4%),24 (2.5%),76 (7.8%),135 (13.8%),14 (1.4%)
NCT01064687,No,177,55 (10),81 (45.8%),0.94 (1.2),166,91,35,51,109 (61.6%),2 (1.1%),32 (18.1%),33 (18.6%),1 (0.6%)
NCT01075282,Yes,829,57 (9),421 (50.8%),1.35 (1.08),1123,179,328,322,571 (68.9%),156 (18.8%),4 (0.5%),91 (11%),7 (0.8%)
NCT01075282,No,69,54 (10),42 (60.9%),0.7 (1.1),48,43,12,14,36 (52.2%),13 (18.8%),0 (0%),20 (29%),0 (0%)
NCT01126580,Yes,807,56 (10),353 (43.7%),1.41 (1.2),1140,192,292,323,600 (74.3%),61 (7.6%),53 (6.6%),85 (10.5%),8 (1%)
NCT01126580,No,103,57 (11),50 (48.5%),0.43 (0.94),44,80,10,13,77 (74.8%),6 (5.8%),9 (8.7%),5 (4.9%),4 (3.9%)
NCT01159912,Yes,347,40.4 (16.4),143 (41.2%),NA (NA),,,,,276 (79.5%),5 (1.4%),64 (18.4%),0 (0%),2 (0.6%)
NCT01159912,No,699,39.7 (16.8),278 (39.8%),NA (NA),,,,,528 (75.5%),14 (2%),139 (19.9%),0 (0%),18 (2.6%)
